job,skills
Software Engineer,"Python Java C++ OOP Data_Structures Algorithms Git GitHub SQL Linux REST_API"
Backend Developer,"Python Java Node.js Express.js Django Flask FastAPI REST_API SQL PostgreSQL MySQL Docker Git Linux"
Frontend Developer,"HTML CSS JavaScript TypeScript React Next.js Bootstrap Tailwind_CSS Git GitHub REST_API"
Full Stack Developer,"HTML CSS JavaScript React Node.js Express.js MongoDB PostgreSQL REST_API Git Docker"
Python Developer,"Python Flask Django FastAPI SQL PostgreSQL MySQL Git Linux REST_API Docker"
Java Developer,"Java Spring_Boot Hibernate MySQL PostgreSQL REST_API Git Maven Docker"
Android Developer,"Java Kotlin Android Android_Studio XML Firebase Git REST_API"
Flutter Developer,"Flutter Dart Firebase Supabase REST_API Git GitHub Android iOS"
Data Analyst,"Python SQL Excel Pandas NumPy Power_BI Tableau Matplotlib Seaborn Data_Analysis Data_Visualization"
Business Analyst,"Excel SQL Power_BI Tableau Data_Analysis Business_Intelligence Communication Statistics"
Data Scientist,"Python Pandas NumPy Scikit-learn TensorFlow PyTorch SQL Matplotlib Seaborn Machine_Learning Deep_Learning"
Machine Learning Engineer,"Python Scikit-learn TensorFlow PyTorch FastAPI Docker MLflow Git SQL AWS Machine_Learning"
NLP Engineer,"Python Transformers Hugging_Face spaCy NLTK PyTorch FastAPI RAG LangChain FAISS NLP"
Computer Vision Engineer,"Python OpenCV TensorFlow PyTorch CNN YOLO Computer_Vision Deep_Learning Docker"
AI Engineer,"Python TensorFlow PyTorch Transformers Machine_Learning Deep_Learning FastAPI Docker Git"
MLOps Engineer,"Python Docker Kubernetes MLflow DVC GitHub_Actions AWS FastAPI Linux"
Data Engineer,"Python SQL Apache_Spark Hadoop Kafka Airflow PostgreSQL ETL AWS Docker"
DevOps Engineer,"Docker Kubernetes Jenkins Git Linux AWS Azure GitHub_Actions Terraform"
Cloud Engineer,"AWS Azure Google_Cloud Docker Kubernetes Linux Terraform Git"
Cybersecurity Analyst,"Linux Networking Python Wireshark Nmap Burp_Suite Metasploit SIEM Cryptography"
QA Engineer,"Selenium Python Java TestNG JUnit Postman API_Testing Git Jenkins"
Database Administrator,"MySQL PostgreSQL Oracle SQL_Server Backup Recovery Performance_Tuning Linux"
BI Developer,"Power_BI Tableau SQL Excel DAX Data_Warehouse ETL"
Web Developer,"HTML CSS JavaScript React Node.js Express MongoDB Git REST_API Bootstrap"
Mobile App Developer,"Flutter Dart Android Kotlin Firebase REST_API Git Supabase"
